bpm,distance,time,pace,gap,dist_week,dist_month,dist_quater,dist_year,count_week,count_month,count_quater,count_year,point_week,point_month,point_quater,point_year,puls_week,puls_month,puls_quater,puls_year,weight,temperature
144,15020,7331,488,15,0,37970,144360,994824,0,3,10,71,-6.2,-6.2,-3.9,-4.3,64,63,63,62,80.3,13
142,11430,5254,459,8,0,41560,191970,993993,0,3,13,71,-9,-9,-3.4,-4.5,60,63,63,63,79.1,1
141,11150,5450,488,5,15390,30410,219710,1004764,1,2,15,72,-12.9,-11.2,-3.3,-4.7,66,64,63,63,79.3,13
141,15390,8334,540,10,0,15020,228423,989374,0,1,16,71,-9.4,-9.4,-2.8,-4.6,64,63,62,63,80.9,10
143,15020,7683,511,31,0,0,256824,984354,0,0,19,71,-3,-3,-3,-4.6,63,63,62,63,77.9,5
139,15000,7431,495,4,15000,120410,338713,993154,1,8,25,73,-1.9,-1.2,-3.1,-5,63,62,61,63,77.6,14
140,15000,7181,478,4,30000,120410,336698,978154,2,8,25,72,-1.1,-1.5,-3.2,-5,63,62,61,63,77.9,13
139,15000,7272,484,2,30050,115690,336619,963154,2,8,25,71,-0.9,-1.6,-3.1,-5.1,61,61,61,63,77.7,14
140,15000,6994,466,4,31370,115700,337823,953914,2,8,25,71,-1.4,-2.1,-3.2,-5.3,60,61,60,63,77.5,16
140,15050,7175,476,3,16320,114250,345999,938864,1,8,27,70,-1.2,-2.3,-3.1,-5.3,60,61,60,63,77.7,16
141,16320,7682,470,5,15880,122033,329679,927404,1,9,26,70,-0.3,-2.7,-3.2,-5.7,61,61,60,63,77.2,21
140,15880,7447,468,3,28160,116183,313799,921534,2,9,25,70,-1.3,-2.8,-3.3,-5.8,63,61,60,63,77.6,15
143,13160,5812,441,4,30000,113341,300639,908374,2,9,24,69,-3.8,-3.2,-3.4,-6,62,60,60,63,78.1,19
140,15000,7350,489,3,15000,121414,285639,902874,1,10,23,69,-4,-4.3,-3.4,-6,61,60,60,63,78.5,22
140,15000,7393,492,6,10280,119802,270639,893884,1,10,22,69,-2.7,-4,-3.4,-6.1,62,60,60,63,77.9,24
143,10280,4775,464,2,41260,136225,260359,896849,3,11,21,70,-3,-3.9,-3.4,-5.9,60,60,60,63,77.3,27
140,15010,7437,495,3,37703,121215,245349,881839,3,10,20,69,-3.3,-3.9,-3.4,-5.9,59,60,60,63,77.2,22
141,13600,6495,477,2,34133,129516,253013,873339,3,10,20,69,-2.8,-4.6,-3.1,-6.1,58,60,60,63,77.2,28
139,12650,6069,479,2,21483,116866,249870,860689,2,9,20,68,-3.4,-4.9,-3.4,-6.1,59,60,60,63,77.2,26
139,11453,5768,503,3,20348,114072,259698,849236,2,9,20,67,-2,-4.4,-3,-6.2,59,60,60,63,76.4,28
138,10030,4797,478,3,21878,122089,258081,839206,2,9,20,66,-5.6,-4.5,-3,-6.2,60,60,60,63,77.2,27
139,10318,5000,484,3,23073,111771,269017,828888,2,8,20,65,-9,-4.7,-3,-6.3,59,60,61,63,75.8,19
140,11560,5955,515,2,24901,100211,268301,817328,2,7,20,64,-5.2,-4.2,-2.7,-6.3,61,60,61,63,76.9,27
139,11513,6068,527,4,28734,88698,268801,805815,2,6,20,63,-1.5,-3.3,-2.3,-6.2,60,60,61,63,78.2,23
146,13388,5889,439,2,26703,96486,266871,792427,2,7,20,62,-3.1,-3.9,-2.4,-6.3,61,60,61,63,78.1,26
149,15346,6716,437,4,33258,81140,272778,777081,2,6,20,61,-6.7,-4.2,-2.4,-6.4,62,61,61,63,77.7,31
143,11357,5390,474,3,21901,84704,276426,773424,1,6,20,61,-9.4,-3.8,-2.3,-6.5,61,60,61,63,77.1,33
163,21901,9372,427,6,8659,79007,254525,751523,1,6,19,60,-1.1,-2.5,-1.8,-6.5,59,60,61,63,77.1,33
149,8659,3670,423,3,18047,93574,277502,750604,1,8,20,61,-2.6,-2.3,-1.8,-7,59,60,61,64,76.4,23
147,18047,8168,452,10,0,75527,274465,732557,0,7,20,60,-2.3,-2.3,-1.9,-7,60,60,61,64,76.9,21
159,8191,3218,392,2,12985,67336,290468,724366,1,6,21,59,-4.6,-2.1,-2.2,-7.1,63,60,61,64,76.9,36
147,12985,5983,460,6,14921,54351,298737,711381,1,5,21,58,-1.6,-1.6,-1.8,-7.2,61,60,61,64,77.8,34
