bpm,age,weight,temp,dist,time,gap,dist_week,train_week,dist_month,train_month,dist_h_year,train_h_year
168,15171,80.9,24,5100,2054,27,0,0,7700,1,77540,8
163,15144,79.9,26,7700,3263,4,2010,1,7740,2,69840,7
138,15140,78.8,30,2010,1161,5,5730,1,5730,1,67830,6
160,15135,79,28,5730,2677,54,0,0,0,0,62100,5
154,15081,81.75,31,8860,4112,9,0,0,8490,1,53240,4
160,15072,82.5,25,8490,3464,26,0,0,10630,1,44750,3
158,15046,81.25,25,10630,4270,18,0,0,34120,2,34120,2
171,15028,81.6,16,21510,8948,10,0,0,12610,1,12610,1
165,15018,82,10,12610,5139,207,0,0,0,0,0,0
159,14811,80.55,13,10010,4309,68,0,0,0,0,113140,11
164,14743,78.2,24,3460,1378,5,15050,1,90550,7,109680,10
167,14738,77.5,26,15050,5451,3,20010,1,91330,8,94630,9
159,14735,77.95,26,20010,7692,14,0,0,71320,7,74620,8
159,14721,77.5,31,20000,8041,3,31590,3,51320,6,54620,7
170,14718,77.8,32,10000,3561,2,25490,3,41320,5,44620,6
149,14716,78.9,29,6590,2812,2,24730,3,34730,4,38030,5
159,14714,79.05,26,15000,5871,1,19730,3,19730,3,23030,4
151,14713,79,24,3900,1496,3,15830,2,15830,2,19130,3
147,14710,79,24,5830,2408,2,10000,1,10000,1,13300,2
155,14708,79.35,22,10000,3815,74,0,0,0,0,3300,1
162,14634,77.35,18,3300,1004,172,0,0,0,0,15420,2
161,14462,82,11,10010,3542,3,5410,1,11410,2,476690,36
159,14459,82,14,5410,1857,10,0,0,6000,1,471280,35
162,14449,81.5,17,6000,2157,23,0,0,75060,3,470080,35
163,14426,80,12,42500,15819,4,32560,2,77090,5,435800,36
163,14422,80.3,16,10000,3494,2,22560,1,77090,5,425800,35
164,14420,80.5,16,22560,8390,7,15010,1,54530,4,403240,34
169,14413,80.6,24,15010,5231,7,14520,1,39520,3,388230,33
162,14406,81.6,30,14520,5149,8,0,0,46250,3,373710,32
158,14398,80,25,15000,5398,3,10000,1,61250,4,358710,31
155,14395,80.3,21,10000,3496,18,0,0,61250,4,348710,30
169,14377,79.5,19,21250,7104,3,30000,2,174120,12,327460,29
155,14374,79.3,23,10000,3998,3,30000,2,186230,13,317460,28
159,14371,80.2,25,20000,7350,4,40000,2,181670,13,297460,27
166,14367,78.4,19,10000,3212,3,40020,2,204710,15,287460,26
161,14364,80.7,23,30000,11346,2,40100,3,184960,15,257460,25
156,14362,81,19,10020,3512,4,30080,2,193120,16,247440,24
